ID;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;FECHA_INSTALACION;MODELO
60406;164;PINAR DEL REY;16;HORTALEZA;CALLE;ANGEL LUIS DE LA HERRAN;42;28043;2019-05-24 00:00:00.0;MU-51
62932;207;CANILLEJAS;20;SAN BLAS - CANILLEJAS;CALLE;ALCALA;629;28022;2019-06-14 00:00:00.0;MU-51
65229;166;VALDEFUENTES;16;HORTALEZA;CALLE;OÑA;183;28050;2019-01-29 00:00:00.0;MU-51
73083;151;VENTAS;15;CIUDAD LINEAL;AVENIDA;MARQUES DE CORBERA;54;28017;2021-09-15 00:00:00.0;MU-51
73168;155;SAN PASCUAL;15;CIUDAD LINEAL;CALLE;CANAL DE PANAMA;8;28027;2021-05-06 00:00:00.0;MU-51
73178;151;VENTAS;15;CIUDAD LINEAL;AVENIDA;MARQUES DE CORBERA;6;28017;2021-09-14 00:00:00.0;MU-51
73181;164;PINAR DEL REY;16;HORTALEZA;CALLE;ABIZANDA;68;28033;2021-09-17 00:00:00.0;MU-51
73186;163;CANILLAS;16;HORTALEZA;CALLE;LOPEZ DE HOYOS;327;28043;2021-07-15 00:00:00.0;MU-51
73188;211;ALAMEDA DE OSUNA;21;BARAJAS;CALLE;BERGANTIN;11;28042;2021-09-09 00:00:00.0;MU-51
73195;211;ALAMEDA DE OSUNA;21;BARAJAS;CALLE;GALEON;16;28042;2020-03-03 00:00:00.0;MU-51
73194;163;CANILLAS;16;HORTALEZA;CALLE;ROSA DE CASTRO;17;28043;2021-09-14 00:00:00.0;MU-51
73200;151;VENTAS;15;CIUDAD LINEAL;AVENIDA;MARQUES DE CORBERA;54;28017;2021-09-17 00:00:00.0;MU-51
73202;211;ALAMEDA DE OSUNA;21;BARAJAS;CALLE;CORBETA;12;28042;2021-09-15 00:00:00.0;MU-38
75169;163;CANILLAS;16;HORTALEZA;CALLE;CARRIL DEL CONDE;57;28043;2021-09-15 00:00:00.0;MU-51
76170;205;ROSAS;20;SAN BLAS - CANILLEJAS;CALLE;BUDAPEST;11;28022;2021-09-22 00:00:00.0;MU-51
76184;156;SAN JUAN BAUTISTA;15;CIUDAD LINEAL;CALLE;ARTURO SORIA;126;28043;2021-09-24 00:00:00.0;MU-51
78769;163;CANILLAS;16;HORTALEZA;CALLE;EL PROVENCIO;20;28043;2021-05-06 00:00:00.0;MU-51
78768;165;APOSTOL SANTIAGO;16;HORTALEZA;CARRETERA;ESTACION DE HORTALEZA;11;28033;2021-05-06 00:00:00.0;MU-51
78770;163;CANILLAS;16;HORTALEZA;CALLE;LAS PEDROÑERAS;39;28043;2021-09-14 00:00:00.0;MU-51
79118;205;ROSAS;20;SAN BLAS - CANILLEJAS;PASEO;GINEBRA;55;28022;2022-06-22 00:00:00.0;ACB
88070;152;PUEBLO NUEVO;15;CIUDAD LINEAL;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;70;28037;2021-09-16 00:00:00.0;MU-51
88071;152;PUEBLO NUEVO;15;CIUDAD LINEAL;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;70;28037;2021-09-29 00:00:00.0;MU-51
