R_fighter;B_fighter;win_by;last_round;last_round_time;Format;Referee;date;location;Winner;weight_class;title_bout
Henry Cejudo;Marlon Moraes;KO/TKO;3;4:51;5 Rnd (5-5-5-5-5);Marc Goddard;June 08, 2019;Chicago, Illinois, USA;Henry Cejudo;Bantamweight;True
Valentina Shevchenko;Jessica Eye;KO/TKO;2;0:26;5 Rnd (5-5-5-5-5);Robert Madrigal;June 08, 2019;Chicago, Illinois, USA;Valentina Shevchenko;Women's Flyweight;True
Tony Ferguson;Donald Cerrone;TKO - Doctor's Stoppage;2;5:00;3 Rnd (5-5-5);Dan Miragliotta;June 08, 2019;Chicago, Illinois, USA;Tony Ferguson;Lightweight;False
Jimmie Rivera;Petr Yan;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;June 08, 2019;Chicago, Illinois, USA;Petr Yan;Bantamweight;False
Tai Tuivasa;Blagoy Ivanov;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;June 08, 2019;Chicago, Illinois, USA;Blagoy Ivanov;Heavyweight;False
Tatiana Suarez;Nina Ansaroff;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Robert Madrigal;June 08, 2019;Chicago, Illinois, USA;Tatiana Suarez;Women's Strawweight;False
Aljamain Sterling;Pedro Munhoz;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;June 08, 2019;Chicago, Illinois, USA;Aljamain Sterling;Bantamweight;False
Karolina Kowalkiewicz;Alexa Grasso;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;June 08, 2019;Chicago, Illinois, USA;Alexa Grasso;Women's Strawweight;False
Ricardo Lamas;Calvin Kattar;KO/TKO;1;4:06;3 Rnd (5-5-5);Dan Miragliotta;June 08, 2019;Chicago, Illinois, USA;Calvin Kattar;Featherweight;False
Yan Xiaonan;Angela Hill;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Robert Madrigal;June 08, 2019;Chicago, Illinois, USA;Yan Xiaonan;Women's Strawweight;False
Bevon Lewis;Darren Stewart;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;June 08, 2019;Chicago, Illinois, USA;Darren Stewart;Middleweight;False
Eddie Wineland;Grigorii Popov;KO/TKO;2;4:47;3 Rnd (5-5-5);Kevin MacDonald;June 08, 2019;Chicago, Illinois, USA;Eddie Wineland;Bantamweight;False
Katlyn Chookagian;Joanne Calderwood;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;June 08, 2019;Chicago, Illinois, USA;Katlyn Chookagian;Women's Flyweight;False
Alexander Gustafsson;Anthony Smith;Submission;4;2:38;5 Rnd (5-5-5-5-5);Marc Goddard;June 01, 2019;Stockholm, Sweden;Anthony Smith;Light Heavyweight;False
Jimi Manuwa;Aleksandar Rakic;KO/TKO;1;0:47;3 Rnd (5-5-5);Kevin Sataki;June 01, 2019;Stockholm, Sweden;Aleksandar Rakic;Light Heavyweight;False
Makwan Amirkhani;Chris Fishgold;Submission;2;4:25;3 Rnd (5-5-5);Marc Goddard;June 01, 2019;Stockholm, Sweden;Makwan Amirkhani;Featherweight;False
Damir Hadzovic;Christos Giagos;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Rich Mitchell;June 01, 2019;Stockholm, Sweden;Christos Giagos;Lightweight;False
Daniel Teymur;Sung Bin Jo;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Rebin Saber;June 01, 2019;Stockholm, Sweden;Daniel Teymur;Featherweight;False
Rostem Akman;Sergey Khandozhko;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;June 01, 2019;Stockholm, Sweden;Sergey Khandozhko;Welterweight;False
Tonya Evinger;Lina Lansberg;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin Sataki;June 01, 2019;Stockholm, Sweden;Lina Lansberg;Women's Bantamweight;False
Stevie Ray;Leonardo Santos;KO/TKO;1;2:17;3 Rnd (5-5-5);Marc Goddard;June 01, 2019;Stockholm, Sweden;Leonardo Santos;Lightweight;False
Nick Hein;Frank Camacho;KO/TKO;2;4:56;3 Rnd (5-5-5);Leon Roberts;June 01, 2019;Stockholm, Sweden;Frank Camacho;Lightweight;False
Bea Malecki;Duda Santana;Submission;2;1:59;3 Rnd (5-5-5);;June 01, 2019;Stockholm, Sweden;Bea Malecki;Women's Bantamweight;False
Darko Stosic;Devin Clark;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin Sataki;June 01, 2019;Stockholm, Sweden;Devin Clark;Light Heavyweight;False
Joel Alvarez;Danilo Belluardo;KO/TKO;2;2:22;3 Rnd (5-5-5);Rebin Saber;June 01, 2019;Stockholm, Sweden;Joel Alvarez;Lightweight;False
Rafael Dos Anjos;Kevin Lee;Submission;4;3:47;5 Rnd (5-5-5-5-5);Dan Miragliotta;May 18, 2019;Rochester, New York, USA;Rafael Dos Anjos;Welterweight;False
Antonio Carlos Junior;Ian Heinisch;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Todd Ronald Anderson;May 18, 2019;Rochester, New York, USA;Ian Heinisch;Middleweight;False
Megan Anderson;Felicia Spencer;Submission;1;3:24;3 Rnd (5-5-5);Keith Peterson;May 18, 2019;Rochester, New York, USA;Felicia Spencer;Women's Featherweight;False
Vicente Luque;Derrick Krantz;KO/TKO;1;3:52;3 Rnd (5-5-5);Dan Miragliotta;May 18, 2019;Rochester, New York, USA;Vicente Luque;Welterweight;False
Charles Oliveira;Nik Lentz;KO/TKO;2;2:11;3 Rnd (5-5-5);Todd Ronald Anderson;May 18, 2019;Rochester, New York, USA;Charles Oliveira;Lightweight;False
Davi Ramos;Austin Hubbard;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;May 18, 2019;Rochester, New York, USA;Davi Ramos;Lightweight;False
Aspen Ladd;Sijara Eubanks;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;May 18, 2019;Rochester, New York, USA;Aspen Ladd;Women's Bantamweight;False
Desmond Green;Charles Jourdain;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;May 18, 2019;Rochester, New York, USA;Desmond Green;Lightweight;False
Danny Roberts;Michel Pereira;KO/TKO;1;1:47;3 Rnd (5-5-5);Todd Ronald Anderson;May 18, 2019;Rochester, New York, USA;Michel Pereira;Welterweight;False
Michael Trizano;Grant Dawson;Submission;2;2:27;3 Rnd (5-5-5);Keith Peterson;May 18, 2019;Rochester, New York, USA;Grant Dawson;Featherweight;False
Patrick Cummins;Ed Herman;KO/TKO;1;3:39;3 Rnd (5-5-5);Dan Miragliotta;May 18, 2019;Rochester, New York, USA;Ed Herman;Light Heavyweight;False
Zak Cummings;Trevin Giles;Submission;3;4:01;3 Rnd (5-5-5);Todd Ronald Anderson;May 18, 2019;Rochester, New York, USA;Zak Cummings;Middleweight;False
Julio Arce;Julian Erosa;KO/TKO;3;1:49;3 Rnd (5-5-5);Keith Peterson;May 18, 2019;Rochester, New York, USA;Julio Arce;Featherweight;False
Rose Namajunas;Jessica Andrade;KO/TKO;2;2:58;5 Rnd (5-5-5-5-5);Marc Goddard;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Jessica Andrade;Women's Strawweight;True
Jared Cannonier;Anderson Silva;KO/TKO;1;4:47;3 Rnd (5-5-5);Herb Dean;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Jared Cannonier;Middleweight;False
Jose Aldo;Alexander Volkanovski;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Alexander Volkanovski;Featherweight;False
Thiago Alves;Laureano Staropoli;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Osiris Maia;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Laureano Staropoli;Welterweight;False
Irene Aldana;Bethe Correia;Submission;3;3:24;3 Rnd (5-5-5);Eduardo Herdy;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Irene Aldana;Women's Bantamweight;False
Rogerio Nogueira;Ryan Spann;KO/TKO;1;2:07;3 Rnd (5-5-5);Herb Dean;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Ryan Spann;Light Heavyweight;False
Thiago Moises;Kurt Holobaugh;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Thiago Moises;Lightweight;False
Warlley Alves;Sergio Moraes;KO/TKO;3;4:13;3 Rnd (5-5-5);Osiris Maia;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Warlley Alves;Welterweight;False
BJ Penn;Clay Guida;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Clay Guida;Lightweight;False
Luana Carolina;Priscila Cachoeira;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Fernando Portella;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Luana Carolina;Women's Flyweight;False
Raoni Barcelos;Carlos Huachin;KO/TKO;2;4:49;3 Rnd (5-5-5);Eduardo Herdy;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Raoni Barcelos;Bantamweight;False
Talita Bernardo;Viviane Araujo;KO/TKO;3;0:48;3 Rnd (5-5-5);Fernando Portella;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Viviane Araujo;Women's Bantamweight;False
