Titulo,Anio,Valoracion,Genero
Sin Rodeos,,7.5,Comedia
Perdido,2017,,Drama
El viaje de sus vidas,2017,7.0,Romántica
Historias de una indecisa,,,Comedia
Solo el Fin del Mundo,,,Drama
Olvídate de Nick,2017,6.2,Comedia
Atracadores,2015,7.0,Acción
Disorder: El Protector,2015,7.0,Thriller
Verano en Brooklyn,2016,,Drama
El Joven Kieslowski,2014,7.1,Romántica
"Ni jueza, ni sumisa",2017,7.5,Comedia
María (y los demás),,7.0,Drama
"Yo, Daniel Blake",2016,8.4,Drama
On the Road,,7.2,Drama
Sing Street,2016,,Comedia
Footnotes,2017,7.1,Comedia
Samantha Hudson,2018,8.0,Biopic
El Insulto,2017,7.9,Thriller
La Tribu,2018,6.2,Comedia
La muerte de Stalin,2017,6.8,Comedia
"Yo, Tonya",2017,7.9,Comedia
Blue my Mind,2017,7.2,Drama
Out,2018,8.0,Documental
A viva voz,2017,8.3,Documental
Coby,2017,7.7,Documental
A Silent Voice,2016,8.8,Romántica
Cartas de Berlín,2016,7.4,Drama
Gringo: Se busca vivo o muerto,2018,7.4,Acción
En la sombra,2017,8.0,Drama
Foxtrot,2017,7.1,Drama
El caso Kurt Waldheim,2018,9.0,Documental
McKellen: Tomando Partido,2017,7.9,Documental
Soy un asesino,2016,8.0,Thriller
Después de la guerra,2017,7.8,Drama
Atrapa el viento,2017,7.8,Drama
"Daliborek, el youtuber nazi",2017,6.5,Documental
A Violent Life,2017,7.0,Thriller
The Great European Cigarette Mystery,2017,6.6,Documental
Sin Amor,2016,7.0,Drama
La Estación de las Mujeres,2015,7.8,Comedia
Cuando tienes 17 años,2016,7.0,Drama
La Juventud,2015,8.1,Drama
The Neon Demon,2016,6.4,Terror
London Road,2015,7.2,Thriller
Los asesinos de Snowtown,2011,7.3,Drama
La hora de la venganza,2017,6.4,Thriller
El sentido de un final,2017,7.8,Drama
The Party,2017,7.0,Comedia
Los archivos del Pentágono,2017,7.4,Drama
The Florida Project,2017,8.0,Drama
The Wild Boys,2017,7.1,Aventuras
Permanent Green Light,2018,8.2,Drama
Postcards from London,2018,7.5,Romántica
Mr. Gay Siria,2017,7.9,Documental
Alto el fuego,2016,6.7,Drama
Tower. A bright day,2018,7.1,Drama
Diario de mi mente,2017,7.2,Drama
Holiday,2018,6.9,Thriller
La Frontera,2017,7.5,Thriller
Terapia Padre-Hijo,2015,5.9,Comedia
Solos,2016,6.0,Aventuras
El Alpinista Fantasma,2015,6.4,Aventuras
Cosas de la edad,2017,6.9,Comedia
Winchester,2018,6.7,Thriller
Cavernícola,2018,7.1,Comedia
Todo el dinero del mundo,2017,7.4,Drama
El paraíso perdido,2015,7.0,Drama
Saint Amour,2016,6.9,Comedia
El Porvenir,2016,7.2,Drama
Cegados por el sol,2015,7.0,Comedia
Sami Blood,2016,7.8,Drama
Una excursión de verano,2017,6.1,Drama
Desaparecer,2018,7.1,Drama
Luz de Agosto en Gijón,2017,7.3,Documental musical
El orden de las cosas,2017,7.1,Thriller
Amateurs,2018,7.8,Comedia
Una oportunidad para ellos,2017,7.2,Documental
Puta y amada,2018,6.3,Romántica
Punishment Park,1971,8.7,Cine clásico
Sexy Beast,2000,7.8,Thriller
La Joya de Shangai,1995,7.3,Drama
Upstream Color,2013,7.8,Drama
Porno e libertà,2016,6.9,Erótica
El venerable W.,2017,8.0,Documental
No intenso agora,2017,8.6,Documental
La cara oculta del Mundial,2017,7.8,Documental
"Errementari, el herrero y el diablo",2018,7.2,Terror
Final Portrait: El arte de la amistad,2017,7.1,Drama
El cuaderno de Sara,2017,6.3,Aventuras
Molly's Game,2017,7.3,Drama
Lo dejo cuando quiero,2014,7.3,Comedia
Who Am I: Ningún sistema es seguro,2015,4.3,Thriller
I am a hero,2015,7.0,Terror
West of the Jordan River,2017,7.2,Documental
Queerama,2017,8.0,Documental
Quiero lo eterno,2017,4.8,Drama
Federal,2017,6.7,Documental
El Príncipe y el Dybbuk,2017,6.4,Documental
Meteors,2017,7.0,Documental
Colo,2017,7.7,Drama
Sarah Plays a Werewolf,2017,6.2,Drama
Yo la busco,2018,6.6,Romántica
Son of Sofia,2017,6.6,Drama
El caso Oleg Sentsov,2017,7.7,Documental
Low Tide,2017,5.5,Comedia
Un cuento de gigantes suecos,2018,5.7,Comedia
Mi pequeño dinosaurio,2017,5.5,Ciencia ficción
La mentira verde,2018,8.0,Documental
Wrong Elements,2016,7.9,Documental
Club Europa,2017,6.0,Drama
La posverdad rusa,2018,6.8,Documental
Waiting for Barcelona,2018,6.7,Documental
Daha,2017,7.5,Drama
Lo que dirán,2018,7.0,Documental
La Nación Muerta,2017,7.7,Documental
Lu over the wall,2017,5.8,Aventuras
Marea Humana,2017,8.8,Documental
Retorno,2018,6.4,Drama
Mi nombre es Te Ata,2016,6.0,Biopic
Blanco Perfecto,2017,5.9,Thriller
"Salyut-7, héroes en el espacio",2017,8.0,Aventuras
Hoy partido a las tres,2017,6.0,Comedia
Grimsey,2018,5.7,Drama
Réquiem por la Sra. J,2017,7.4,Comedia
Belinda,2017,6.9,Documental
Papá o mamá 2,2016,6.4,Comedia
Tamara,2016,7.5,-
Casa de Nadie,2017,6.7,Documental
Hart Beat,2016,5.5,Comedia
