TIMESTAMP,Dióxido de Azufre SO2,Monóxido de Carbono CO,Monóxido de Nitrógeno NO,Dióxido de Nitrógeno NO2,Óxidos de Nitrógeno,Ozono
2018-01-01 00:00:00,6.0,0.4,2.0,22.0,25.0,32.6
2018-01-01 01:00:00,5.0,0.2,2.0,19.0,21.0,41.97
2018-01-01 02:00:00,5.0,0.3,3.0,29.0,34.0,30.16
2018-01-01 03:00:00,6.0,0.2,7.0,35.0,45.0,24.23
2018-01-01 04:00:00,6.0,0.2,13.0,38.0,57.0,24.16
2018-01-01 05:00:00,6.0,0.2,4.0,29.0,36.0,30.0
2018-01-01 06:00:00,5.0,0.2,1.0,20.0,21.0,34.27
2018-01-01 07:00:00,5.0,0.1,2.0,24.0,28.0,26.24
2018-01-01 08:00:00,6.0,0.2,4.0,33.0,40.0,19.02
2018-01-01 09:00:00,5.0,0.2,3.0,33.0,37.0,20.76
2018-01-01 10:00:00,6.0,0.2,3.0,35.0,40.0,20.99
2018-01-01 11:00:00,6.0,0.2,3.0,27.0,31.0,29.84
2018-01-01 12:00:00,6.0,0.2,2.0,21.0,25.0,35.06
2018-01-01 13:00:00,6.0,0.3,3.0,22.0,27.0,36.61
2018-01-01 14:00:00,6.0,0.4,2.0,20.0,23.0,36.46
2018-01-01 15:00:00,7.0,0.6,2.0,17.0,20.0,37.87
2018-01-01 16:00:00,8.0,0.8,2.0,20.0,22.0,36.72
2018-01-01 17:00:00,6.0,0.8,2.0,23.0,27.0,33.27
2018-01-01 18:00:00,6.0,0.7,2.0,23.0,26.0,29.73
2018-01-01 19:00:00,6.0,0.6,2.0,28.0,31.0,24.21
2018-01-01 20:00:00,6.0,0.5,2.0,31.0,34.0,22.16
2018-01-01 21:00:00,6.0,0.5,2.0,31.0,34.0,24.64
2018-01-01 22:00:00,6.0,0.4,2.0,31.0,34.0,23.82
2018-01-01 23:00:00,6.0,0.4,2.0,26.0,28.0,25.44
2018-01-02 00:00:00,6.0,0.6,4.0,33.0,39.0,11.86
2018-01-02 01:00:00,6.0,0.3,2.0,21.0,24.0,34.81
2018-01-02 02:00:00,6.0,0.3,2.0,20.0,22.0,30.11
2018-01-02 03:00:00,6.0,0.3,1.0,17.0,19.0,36.67
2018-01-02 04:00:00,5.0,0.3,1.0,15.0,17.0,40.47
2018-01-02 05:00:00,6.0,0.3,1.0,18.0,20.0,42.31
2018-01-02 06:00:00,6.0,0.2,2.0,16.0,19.0,45.57
2018-01-02 07:00:00,6.0,0.2,2.0,25.0,28.0,39.84
2018-01-02 08:00:00,6.0,0.3,6.0,34.0,44.0,31.22
2018-01-02 09:00:00,6.0,0.3,6.0,45.0,54.0,23.21
2018-01-02 10:00:00,6.0,0.3,8.0,51.0,64.0,19.49
2018-01-02 11:00:00,6.0,0.4,7.0,42.0,53.0,17.06
2018-01-02 12:00:00,6.0,0.3,8.0,34.0,46.0,22.94
2018-01-02 13:00:00,7.0,0.6,6.0,29.0,37.0,27.32
2018-01-02 14:00:00,8.0,0.9,4.0,30.0,37.0,26.91
2018-01-02 15:00:00,9.0,1.1,5.0,32.0,39.0,27.7
2018-01-02 16:00:00,9.0,1.3,5.0,30.0,38.0,25.3
2018-01-02 17:00:00,8.0,1.3,4.0,30.0,37.0,21.79
2018-01-02 18:00:00,7.0,0.9,3.0,31.0,35.0,21.68
2018-01-02 19:00:00,6.0,0.5,8.0,43.0,56.0,11.71
2018-01-02 20:00:00,6.0,0.6,4.0,32.0,38.0,17.28
2018-01-02 21:00:00,6.0,0.7,8.0,46.0,58.0,7.74
2018-01-02 22:00:00,7.0,0.7,11.0,48.0,65.0,5.14
2018-01-02 23:00:00,7.0,0.8,13.0,48.0,68.0,4.52
2018-01-03 00:00:00,6.0,0.1,17.0,42.0,68.0,7.34
2018-01-03 01:00:00,6.0,0.6,4.0,28.0,34.0,14.07
2018-01-03 02:00:00,6.0,0.5,2.0,21.0,24.0,18.11
2018-01-03 03:00:00,6.0,0.5,2.0,21.0,24.0,17.93
2018-01-03 04:00:00,6.0,0.5,2.0,18.0,21.0,19.13
2018-01-03 05:00:00,6.0,0.5,9.0,21.0,34.0,15.04
2018-01-03 06:00:00,6.0,0.4,3.0,20.0,24.0,18.93
2018-01-03 07:00:00,6.0,0.5,9.0,37.0,50.0,7.72
2018-01-03 08:00:00,6.0,0.5,9.0,40.0,54.0,5.91
2018-01-03 09:00:00,6.0,0.4,10.0,37.0,52.0,5.93
2018-01-03 10:00:00,7.0,0.4,24.0,46.0,82.0,1.58
2018-01-03 11:00:00,6.0,0.4,9.0,34.0,48.0,6.2
2018-01-03 12:00:00,6.0,0.4,6.0,29.0,39.0,10.5
2018-01-03 13:00:00,7.0,0.4,6.0,32.0,41.0,12.84
2018-01-03 14:00:00,7.0,0.6,12.0,36.0,55.0,11.17
2018-01-03 15:00:00,8.0,0.9,15.0,38.0,61.0,10.09
2018-01-03 16:00:00,8.0,1.0,11.0,34.0,51.0,10.56
2018-01-03 17:00:00,6.0,0.3,8.0,30.0,42.0,11.3
2018-01-03 18:00:00,5.0,0.1,5.0,27.0,34.0,15.76
2018-01-03 19:00:00,6.0,0.1,9.0,38.0,52.0,6.9
2018-01-03 20:00:00,6.0,0.2,23.0,44.0,79.0,2.55
2018-01-03 21:00:00,6.0,0.1,13.0,41.0,60.0,7.25
2018-01-03 22:00:00,6.0,0.2,20.0,42.0,72.0,7.39
2018-01-03 23:00:00,6.0,0.2,32.0,45.0,94.0,3.74
2018-01-04 00:00:00,5.0,0.1,3.0,26.0,31.0,14.89
2018-01-04 01:00:00,5.0,0.1,12.0,37.0,55.0,8.0
2018-01-04 02:00:00,6.0,0.1,10.0,33.0,48.0,10.59
2018-01-04 03:00:00,5.0,0.1,3.0,20.0,24.0,14.24
2018-01-04 04:00:00,5.0,0.1,3.0,20.0,24.0,11.99
2018-01-04 05:00:00,5.0,0.1,8.0,23.0,34.0,12.13
2018-01-04 06:00:00,5.0,0.1,2.0,18.0,21.0,16.4
2018-01-04 07:00:00,5.0,0.1,2.0,17.0,21.0,16.78
2018-01-04 08:00:00,5.0,0.1,3.0,21.0,25.0,13.63
2018-01-04 09:00:00,6.0,0.1,7.0,27.0,38.0,9.22
2018-01-04 10:00:00,6.0,0.1,11.0,30.0,47.0,6.87
2018-01-04 11:00:00,6.0,0.1,12.0,32.0,51.0,10.27
